"county" "white" "amerind" "hispanic" "stratum" "cars"
"1" 1 41148 484 6725 4 "NA"
"2" 1 10078 64 1312 4 "9933"
"3" 1 8115 269 6753 4 "12760"
"4" 1 60797 467 10001 4 "64716"
"5" 1 40587 336 6984 4 "35875"
"6" 1 7319 161 5774 4 "8536"
"7" 1 20793 220 4059 4 "18737"
"8" 1 3096 34 616 4 "4254"
"9" 1 5234 53 1433 4 "5954"
"10" 1 96968 1048 27409 4 "NA"
"11" 1 60146 1177 47850 4 "88213"
"12" 1 60070 444 10541 4 "46118"
"13" 1 22179 273 12145 4 "26627"
"14" 1 125013 2655 87467 4 "250272"
"15" 1 8607 12 325 4 "6887"
"16" 1 51203 210 5011 4 "NA"
"17" 1 40754 609 15939 4 "NA"
"18" 1 13865 195 5398 4 "13860"
"19" 1 1125 13 116 4 "849"
"20" 1 20198 356 16020 4 "41976"
"21" 2 84 42 21 1 "63"
"22" 2 120 3 5 1 "NA"
"23" 2 84 2 5 1 "43"
"24" 2 192 3 3 1 "91"
"25" 2 159 11 8 1 "87"
"26" 3 178 2 18 1 "126"
"27" 3 4128 164 1437 1 "4497"
"28" 3 3731 55 258 1 "2508"
"29" 3 887 22 50 1 "616"
"30" 3 2106 30 134 1 "NA"
"31" 4 1336 33 494 2 "1120"
"32" 4 49377 782 7351 2 "NA"
"33" 4 993 25 52 2 "694"
"34" 4 4812 41 469 2 "NA"
"35" 4 3583 83 2079 2 "3329"
"36" 4 9944 127 516 2 "6630"
"37" 4 10043 511 1073 2 "8042"
"38" 4 7868 277 396 2 "5496"
"39" 4 4461 337 892 2 "3595"
"40" 4 24751 283 1127 2 "16490"
"41" 4 5314 306 769 2 "4939"
"42" 4 4699 176 465 2 "3806"
"43" 5 2798 55 243 1 "NA"
"44" 5 4012 40 141 1 "2317"
"45" 5 625 7 29 1 "359"
"46" 5 2132 38 202 1 "1265"
"47" 5 685 1 39 1 "NA"
"48" 5 1145 21 43 1 "635"
"49" 5 735 12 33 1 "NA"
"50" 5 1406 27 79 1 "823"
"51" 5 1943 20 116 1 "NA"
"52" 5 506 8 29 1 "295"
"53" 5 3723 52 424 1 "2335"
"54" 5 2408 40 166 1 "1405"
"55" 5 408 13 8 1 "227"
"56" 5 2241 46 275 1 "NA"
"57" 5 198 1 9 1 "119"
"58" 5 612 61 60 1 "391"
"62" 7 14119 34 616 3 "6439"
"63" 7 59148 843 20024 3 "36984"
"64" 7 9960 226 8321 3 "8742"
"65" 7 2388 55 1761 3 "2047"
"66" 7 2083 23 203 3 "917"
"67" 7 7747 18 391 3 "4010"
"68" 7 17201 143 6565 3 "9228"
"69" 7 687 10 237 3 "387"
"70" 7 9465 20 681 3 "4543"
"71" 7 566 2 79 3 "284"
"72" 7 86114 929 26560 3 "48080"
"73" 7 2718 30 371 3 "1300"
"74" 7 36000 86 1945 3 "17615"
"75" 7 935 0 35 3 "398"
"76" 7 7865 75 937 3 "3728"
"77" 7 2153 22 358 3 "1334"
"78" 7 13391 116 1838 3 "9594"
"79" 7 7399 82 1910 3 "NA"
"80" 7 5453 49 2106 3 "7694"
"81" 7 4036 12 172 3 "1962"
"82" 7 654 12 228 3 "343"
"83" 7 20754 53 945 3 "9516"
"84" 7 29064 264 3660 3 "14868"
"85" 7 13212 25 775 3 "6644"
"86" 7 2073 32 358 3 "997"
"87" 7 19342 227 6399 3 "10152"
"88" 7 15246 26 560 3 "6987"
"89" 7 2951 28 421 3 "1423"
"90" 7 10356 108 2618 3 "7538"
"91" 7 24712 423 18287 3 "22859"
"92" 7 26852 155 2767 3 "13524"
"93" 7 211 3 16 3 "92"
"94" 7 31117 639 26319 3 "41854"
"95" 7 4550 113 1489 3 "3435"
"96" 7 961 32 1225 3 "1178"
"97" 7 9555 271 13490 3 "13018"
"98" 7 34354 160 3238 3 "NA"
"99" 7 2760 35 1273 3 "2157"
"100" 7 2448 56 787 3 "1299"
"101" 7 3872 17 317 3 "2120"
"102" 7 53937 210 3851 3 "26170"
"107" 9 13421 129 975 2 "NA"
"108" 9 4407 109 416 2 "NA"
"109" 9 16234 83 896 2 "9126"
"110" 9 915 13 36 2 "475"
"111" 9 8511 122 1212 2 "4885"
"112" 9 4421 56 248 2 "2345"
"113" 9 2423 34 175 2 "1293"
"114" 9 17878 228 6294 2 "12235"
"115" 10 1779 106 175 3 "1501"
"116" 10 140 26 855 3 "765"
"117" 10 117 1 78 3 "134"
"118" 10 194 20 721 3 "557"
"119" 10 279 4 614 3 "NA"
"120" 10 1102 6 1120 3 "NA"
"121" 10 51914 1025 13876 3 "50557"
"122" 10 6687 177 5811 3 "8573"
"123" 10 354 2 888 3 "690"
"124" 10 1141 66 1018 3 "1454"
"125" 10 2504 78 5026 3 "4228"
"126" 10 1953 64 2677 3 "2923"
"127" 10 214556 6763 170520 3 "NA"
"128" 10 463 10 52 3 "387"
"129" 10 1284 62 6197 3 "NA"
"130" 10 3634 167 5552 3 "6345"
"131" 10 6617 62 3166 3 "6744"
"132" 10 138 5 412 3 "399"
"133" 10 558 14 851 3 "NA"
"134" 10 2156 103 7468 3 "5841"
"135" 10 2591 187 6996 3 "5730"
"136" 10 3748 216 10807 3 "8478"
"137" 10 99 14 99 3 "NA"
"138" 10 10743 251 14028 3 "15569"
"139" 10 1245 29 1234 3 "1832"
"140" 10 1159 51 3008 3 "2387"
"141" 10 9376 228 15319 3 "14021"
"142" 10 8536 304 13952 3 "14322"
"143" 10 685 3 46 3 "519"
"144" 10 2377 64 327 3 "1964"
"145" 10 397 14 528 3 "595"
"149" 12 14072 442 1202 2 "7254"
"150" 12 1974 115 186 2 "982"
"151" 12 1007 61 28 2 "486"
"152" 12 2579 90 176 2 "1230"
"153" 12 21544 1101 2031 2 "10845"
"154" 12 1290 7 59 2 "NA"
"155" 12 9278 305 1097 2 "4414"
"156" 12 2846 106 197 2 "1329"
"157" 12 1109 45 58 2 "505"
"158" 12 11918 620 589 2 "5916"
"159" 12 3984 127 204 2 "1925"
"160" 12 2785 81 143 2 "1260"
"161" 12 1062 30 43 2 "500"
"162" 12 2718 123 343 2 "1360"
"163" 12 295 1 7 2 "126"
"164" 12 929 53 42 2 "453"
"165" 12 1426 166 97 2 "723"
"166" 13 261 2 68 2 "NA"
"167" 13 11638 244 16280 2 "8452"
"168" 13 12621 181 25832 2 "NA"
"169" 13 2361 53 4180 2 "2700"
"170" 13 582 7 482 2 "304"
"171" 13 17728 369 28219 2 "14169"
"172" 13 1026 18 2914 2 "1163"
"173" 13 3051 47 4144 2 "2287"
"174" 13 4425 57 4619 2 "2798"
"175" 13 626 23 632 2 "440"
"176" 13 260 5 59 2 "114"
"177" 13 186 0 46 2 "95"
"178" 13 720 19 318 2 "367"
"179" 13 287 13 88 2 "NA"
"180" 13 889 16 1324 2 "653"
"181" 13 1188 15 1752 2 "815"
"182" 13 241 36 298 2 "NA"
"183" 14 1162 58 108 1 "634"
"184" 14 3025 73 621 1 "1702"
"185" 14 83 3 42 1 "50"
