"stand.id" "region" "number.trees"
"1" 8967 "w" 57
"2" 2655 "r" 51
"3" 3721 "s" 50
"4" 5727 "e" 53
"5" 9079 "v" 51
"6" 2016 "v" 49
"7" 8979 "h" 42
"8" 9441 "j" 49
"9" 6603 "c" 56
"10" 6286 "n" 59
"11" 618 "h" 43
"12" 2058 "q" 58
"13" 1764 "d" 47
"14" 6862 "v" 52
"15" 3836 "e" 53
"16" 7687 "o" 46
"17" 4970 "w" 58
"18" 7164 "v" 52
"19" 9902 "i" 60
"20" 3794 "i" 58
"21" 7759 "p" 52
"22" 9328 "i" 59
"23" 2117 "f" 42
"24" 6502 "q" 58
"25" 1253 "u" 54
"26" 2666 "a" 50
"27" 3852 "p" 54
"28" 134 "l" 47
"29" 3814 "w" 56
"30" 8672 "e" 51
"31" 3394 "x" 48
"32" 4806 "f" 43
"33" 5977 "j" 50
"34" 4920 "l" 45
"35" 1856 "u" 53
"36" 8245 "h" 43
"37" 6661 "e" 51
"38" 7914 "p" 51
"39" 1076 "h" 43
"40" 7209 "d" 47
"41" 4097 "r" 53
"42" 8176 "u" 52
"43" 6444 "d" 48
"44" 7796 "o" 47
"45" 5507 "k" 51
"46" 5274 "q" 58
"47" 7858 "r" 50
"48" 233 "s" 49
"49" 4750 "a" 51
"50" 7288 "g" 52
"51" 6893 "v" 52
"52" 4752 "w" 58
"53" 8568 "u" 52
"54" 4358 "d" 46
"55" 2435 "w" 58
"56" 703 "g" 54
"57" 990 "h" 43
"58" 3145 "e" 52
"59" 5157 "l" 46
"60" 6581 "l" 46
"61" 4044 "v" 53
"62" 9074 "o" 46
"63" 2918 "u" 52
"64" 4562 "u" 53
"65" 3303 "p" 51
"66" 6467 "k" 51
"67" 2564 "q" 59
"68" 4754 "i" 59
"69" 7611 "i" 60
"70" 837 "r" 53
"71" 8692 "w" 56
"72" 3367 "b" 46
"73" 8334 "e" 53
"74" 3442 "k" 50
"75" 3314 "f" 45
"76" 4728 "d" 47
"77" 8855 "q" 59
"78" 8577 "t" 48
"79" 3870 "t" 47
"80" 7712 "d" 47
"81" 9530 "s" 48
"82" 4312 "e" 53
"83" 7067 "w" 57
"84" 3967 "i" 59
"85" 3227 "c" 56
"86" 7507 "e" 54
"87" 2010 "h" 42
"88" 7050 "e" 50
"89" 1207 "j" 50
"90" 2434 "v" 51
"91" 1421 "g" 53
"92" 2375 "k" 52
"93" 584 "e" 52
"94" 6364 "i" 59
"95" 8681 "s" 48
"96" 7716 "t" 45
"97" 7897 "g" 54
"98" 4509 "x" 49
"99" 4061 "d" 45
"100" 8029 "g" 54
"101" 5989 "l" 46
"102" 6482 "g" 52
"103" 3496 "t" 47
"104" 2675 "r" 51
"105" 9824 "c" 57
"106" 6269 "w" 56
"107" 2110 "c" 58
"108" 1280 "d" 47
"109" 4730 "a" 53
"110" 9141 "i" 61
"111" 5922 "o" 45
"112" 9654 "c" 56
"113" 7236 "q" 61
"114" 3527 "e" 52
"115" 4266 "i" 60
"116" 1466 "h" 44
"117" 130 "f" 42
"118" 7072 "p" 53
"119" 1020 "q" 58
"120" 4410 "r" 51
"121" 6325 "x" 49
"122" 9799 "w" 56
"123" 4896 "a" 51
"124" 4784 "o" 44
"125" 1713 "a" 51
"126" 7454 "s" 48
"127" 4482 "w" 58
"128" 5047 "w" 56
"129" 2049 "i" 60
"130" 2258 "i" 57
"131" 5880 "c" 55
"132" 5674 "b" 46
"133" 761 "q" 59
"134" 351 "w" 56
"135" 6342 "h" 43
"136" 9161 "l" 47
"137" 5900 "l" 47
"138" 5533 "o" 45
"139" 5188 "f" 44
"140" 9715 "q" 59
"141" 5006 "j" 50
"142" 6732 "u" 53
"143" 5930 "p" 55
"144" 2355 "r" 50
"145" 2545 "i" 58
"146" 7188 "e" 52
