"stand.id" "region" "number.trees"
"1" 8967 "g" 51
"2" 2655 "a" 44
"3" 3721 "g" 51
"4" 5727 "h" 53
"5" 9079 "b" 45
"6" 2016 "a" 47
"7" 8979 "b" 48
"8" 9441 "i" 46
"9" 6603 "i" 49
"10" 6286 "i" 47
"11" 618 "a" 45
"12" 2058 "b" 44
"13" 1764 "f" 51
"14" 6862 "b" 45
"15" 3836 "h" 53
"16" 7687 "h" 53
"17" 4970 "h" 52
"18" 7164 "g" 52
"19" 9902 "f" 50
"20" 3794 "e" 52
"21" 7759 "a" 46
"22" 9328 "c" 47
"23" 2117 "d" 50
"24" 6502 "f" 52
"25" 1253 "h" 53
"26" 2666 "e" 52
"27" 3852 "g" 52
"28" 134 "f" 53
"29" 3814 "h" 51
"30" 8672 "j" 50
"31" 3394 "e" 50
"32" 4806 "d" 50
"33" 5977 "j" 51
"34" 4920 "c" 47
"35" 1856 "i" 47
"36" 8245 "d" 50
"37" 6661 "f" 51
"38" 7914 "d" 52
"39" 1076 "c" 49
"40" 7209 "c" 49
"41" 4097 "j" 49
"42" 8176 "a" 46
"43" 6444 "a" 46
"44" 7796 "j" 52
"45" 5507 "i" 48
"46" 5274 "j" 50
"47" 7858 "h" 55
"48" 233 "g" 53
"49" 4750 "f" 50
"50" 7288 "e" 50
"51" 6893 "i" 46
"52" 4752 "a" 44
"53" 8568 "c" 48
"54" 4358 "b" 46
"55" 2435 "h" 51
"56" 703 "b" 45
"57" 990 "b" 46
"58" 3145 "e" 50
"59" 5157 "a" 43
"60" 6581 "j" 49
"61" 4044 "b" 44
"62" 9074 "a" 44
"63" 2918 "d" 50
"64" 4562 "b" 47
"65" 3303 "j" 51
"66" 6467 "e" 51
"67" 2564 "c" 49
"68" 4754 "d" 48
"69" 7611 "b" 46
"70" 837 "c" 48
"71" 8692 "c" 50
"72" 3367 "b" 44
"73" 8334 "a" 46
"74" 3442 "i" 47
"75" 3314 "f" 48
"76" 4728 "f" 49
"77" 8855 "h" 51
"78" 8577 "a" 46
"79" 3870 "f" 50
"80" 7712 "d" 50
"81" 9530 "e" 52
"82" 4312 "f" 52
"83" 7067 "g" 52
"84" 3967 "h" 51
"85" 3227 "i" 46
"86" 7507 "a" 44
"87" 2010 "i" 47
"88" 7050 "j" 50
"89" 1207 "j" 50
"90" 2434 "g" 51
"91" 1421 "d" 51
"92" 2375 "e" 51
"93" 584 "b" 45
"94" 6364 "b" 45
"95" 8681 "c" 47
"96" 7716 "c" 46
"97" 7897 "a" 45
"98" 4509 "c" 47
"99" 4061 "b" 47
"100" 8029 "c" 47
"101" 5989 "g" 52
"102" 6482 "c" 48
"103" 3496 "g" 51
"104" 2675 "c" 47
"105" 9824 "a" 46
"106" 6269 "b" 45
"107" 2110 "c" 48
"108" 1280 "e" 51
"109" 4730 "g" 51
"110" 9141 "a" 46
"111" 5922 "j" 50
"112" 9654 "i" 48
"113" 7236 "j" 50
"114" 3527 "d" 50
"115" 4266 "d" 51
"116" 1466 "b" 46
"117" 130 "j" 49
"118" 7072 "c" 47
"119" 1020 "a" 45
"120" 4410 "a" 45
"121" 6325 "j" 50
"122" 9799 "a" 46
"123" 4896 "i" 47
"124" 4784 "g" 54
"125" 1713 "d" 48
"126" 7454 "d" 50
"127" 4482 "j" 49
"128" 5047 "c" 47
"129" 2049 "f" 51
"130" 2258 "j" 49
"131" 5880 "f" 50
"132" 5674 "g" 52
"133" 761 "h" 52
"134" 351 "i" 47
